	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Creb3	25.91071309	0.215789765	0.484945531	0.444977324	0.656336142	NA
Creb3l1	0	NA	NA	NA	NA	NA
Creb3l2	0.454175887	0.534950554	0.512015404	1.044793868	0.296118249	NA
Creb3l3	0	NA	NA	NA	NA	NA
Creb3l4	0	NA	NA	NA	NA	NA
Creb5	0	NA	NA	NA	NA	NA
Crebbp	11.76519705	-0.062304127	0.57527785	-0.10830267	0.913755605	NA
Crebl2	0.370943719	-0.112319143	0.464435713	-0.241840023	0.808904125	NA
Crebzf	13.37372587	0.661535349	0.491450837	1.346086525	0.178274614	NA
Creg1	38.51606444	0.190252603	0.343433713	0.553971831	0.579598124	NA
Creg2	0.696968687	-0.604720195	0.538930945	-1.122073617	0.26183114	NA
Creld1	3.675370397	-0.030038019	0.689015968	-0.043595534	0.965226812	NA
Crem	10.4748465	-0.725732687	0.502548863	-1.444103728	0.1487098	NA
Crh	0	NA	NA	NA	NA	NA
Crhbp	0	NA	NA	NA	NA	NA
Crhr1	0	NA	NA	NA	NA	NA
Crhr2	0	NA	NA	NA	NA	NA
Crim1	0	NA	NA	NA	NA	NA
Crip1	45.99161313	-0.326399916	0.345142713	-0.945695518	0.344303909	NA
Crip2	2.104995059	-0.326259251	0.685637476	-0.475848044	0.63418264	NA
Crip3	0.710616916	-0.723891189	0.572794562	-1.263788515	0.206305945	NA
Cript	18.275608	0.101922811	0.413739339	0.246345468	0.805414816	NA
Crisp1	0.251560658	0.273405162	0.39313412	0.695450097	0.486773275	NA
Crisp2	0	NA	NA	NA	NA	NA
Crisp3	0.897550754	-0.715996461	0.655273246	-1.092668541	0.274539357	NA
Crisp4	0	NA	NA	NA	NA	NA
Crispld1	0	NA	NA	NA	NA	NA
Crispld2	0	NA	NA	NA	NA	NA
Crk	17.76179323	-0.411364354	0.419219079	-0.981263436	0.326462849	NA
Crkl	4.053927567	-0.355544531	0.645073683	-0.551168867	0.58151792	NA
Crlf1	0	NA	NA	NA	NA	NA
Crlf2	3.811878294	-0.569666093	0.663694826	-0.858325349	0.390712836	NA
Crlf3	44.1506077	-0.325931654	0.348734418	-0.934612809	0.349987875	NA
Crls1	1.844933149	0.481514077	0.6915891	0.69624301	0.486276656	NA
Crmp1	0	NA	NA	NA	NA	NA
Crnkl1	19.99053817	0.349912186	0.428750408	0.816120939	0.414430969	NA
Crnn	0	NA	NA	NA	NA	NA
Crocc	3.719131707	0.617655675	0.675900801	0.913825925	0.360808322	NA
Crot	14.45831423	-0.110771899	0.553278196	-0.200210128	0.841316247	NA
Crp	0	NA	NA	NA	NA	NA
Crtac1	0	NA	NA	NA	NA	NA
Crtam	0	NA	NA	NA	NA	NA
Crtap	3.380927373	0.08516206	0.673478958	0.126450959	0.899374966	NA
Crtc1	3.091037543	-0.644110795	0.681187224	-0.945570868	0.344367509	NA
Crtc2	0.622664179	0.702898808	0.561221328	1.252444933	0.210407782	NA
Crtc3	2.662236026	0.246735669	0.696330391	0.354337068	0.723086291	NA
Crx	0	NA	NA	NA	NA	NA
Crxos1	0.19913391	-0.213312615	0.35915534	-0.593928562	0.552559895	NA
Cry1	3.068510214	0.193075331	0.695228876	0.277714775	0.781231318	NA
Cry2	3.958113102	0.386308643	0.669506463	0.5770051	0.563936011	NA
Cryaa	0	NA	NA	NA	NA	NA
Cryab	0.566075922	-0.513443129	0.509827761	-1.007091352	0.313890876	NA
Cryba1	0	NA	NA	NA	NA	NA
Cryba2	0	NA	NA	NA	NA	NA
Cryba4	0	NA	NA	NA	NA	NA
Crybb1	0.139997909	0.159077634	0.309937777	0.513256679	0.607771783	NA
Crybb2	0	NA	NA	NA	NA	NA
Crybb3	0	NA	NA	NA	NA	NA
Crybg3	3.050764043	0.143778539	0.694714002	0.206960762	0.836040502	NA
Cryga	0	NA	NA	NA	NA	NA
Crygb	0	NA	NA	NA	NA	NA
Crygc	0	NA	NA	NA	NA	NA
Crygd	0	NA	NA	NA	NA	NA
Cryge	0	NA	NA	NA	NA	NA
Crygf	0	NA	NA	NA	NA	NA
Crygn	0	NA	NA	NA	NA	NA
Crygs	0	NA	NA	NA	NA	NA
Cryl1	2.222550329	0.439474541	0.501513095	0.87629724	NA	NA
Crym	0	NA	NA	NA	NA	NA
Cryz	16.37645451	-0.185405637	0.537956498	-0.344648011	0.730359007	NA
Cryzl1	6.199401353	-0.147027014	0.620286155	-0.237030946	0.812632783	NA
Csad	5.482361343	0.548421862	0.684623931	0.801055641	0.423099435	NA
Csdc2	0	NA	NA	NA	NA	NA
Csde1	31.78152408	-0.051695638	0.3215933	-0.160748492	0.872291495	NA
Csf1	0	NA	NA	NA	NA	NA
Csf1r	8.355140651	-0.910106924	0.659242902	-1.38053352	0.167422436	NA
Csf2	0	NA	NA	NA	NA	NA
Csf2ra	12.52192388	0.238152702	0.560946635	0.424555005	0.671161099	NA
Csf2rb	16.2932778	0.024732386	0.494704624	0.049994248	0.960126972	NA
Csf2rb2	0.279995818	0.298928362	0.408095699	0.732495743	0.46386604	NA
Csf3	0	NA	NA	NA	NA	NA
Csf3r	0.342261527	-0.410070089	0.471478822	-0.869752935	0.384435437	NA
Csgalnact1	0	NA	NA	NA	NA	NA
Csgalnact2	1.699394962	0.274537176	0.687714715	0.399202125	0.689744277	NA
Csl	0	NA	NA	NA	NA	NA
Csmd1	0	NA	NA	NA	NA	NA
Csmd2	0.17418007	0.192667168	0.337745185	0.570451265	0.568371668	NA
Csmd3	0	NA	NA	NA	NA	NA
Csn1s1	0	NA	NA	NA	NA	NA
Csn1s2a	0	NA	NA	NA	NA	NA
Csn1s2b	0	NA	NA	NA	NA	NA
Csn2	0	NA	NA	NA	NA	NA
Csn3	0	NA	NA	NA	NA	NA
Csnk1d	43.62252233	-0.700179694	0.377968734	-1.852480458	0.063956861	NA
Csnk1e	9.480853098	0.468138206	0.615558702	0.760509444	0.446950127	NA
Csnk1g1	14.5055085	0.130338418	0.521787436	0.249792174	0.802748072	NA
Csnk1g3	11.06549274	-0.643925085	0.556304818	-1.157504059	0.247066482	NA
Csnk2a1	7.034242089	-0.054983199	0.578269777	-0.095082262	0.924249487	NA
Csnk2a2	12.48069685	-0.565145204	0.483415351	-1.169067556	0.242376414	NA
Cspg4	0	NA	NA	NA	NA	NA
Cspg5	0	NA	NA	NA	NA	NA
Cspp1	2.43123176	-0.184467711	0.69494679	-0.265441489	0.790669378	NA
Csprs	0	NA	NA	NA	NA	NA
Csrnp2	0.367745085	-0.361254473	0.447203752	-0.807807338	0.4192015	NA
Csrnp3	0	NA	NA	NA	NA	NA
Csrp1	15.26285056	-0.04324561	0.435459676	-0.099310251	0.92089194	NA
Csrp2	27.72038584	-0.434354277	0.397701424	-1.092161736	0.274762018	NA
Csrp3	0	NA	NA	NA	NA	NA
Cst10	0	NA	NA	NA	NA	NA
Cst11	0	NA	NA	NA	NA	NA
Cst12	0	NA	NA	NA	NA	NA
Cst13	0	NA	NA	NA	NA	NA
Cst3	51.67874089	0.001937655	0.271063906	0.007148334	0.994296503	NA
Cst6	0	NA	NA	NA	NA	NA
Cst7	1.938244819	0.556624117	0.643983728	0.864345004	0.387398395	NA
Cst8	0	NA	NA	NA	NA	NA
Cst9	0	NA	NA	NA	NA	NA
Csta	0	NA	NA	NA	NA	NA
Cstad	0	NA	NA	NA	NA	NA
Cstb	2.474900546	0.854736329	0.688086164	1.242193746	0.214165087	NA
Cstf1	45.33690198	-0.247919353	0.356072149	-0.69626157	0.486265035	NA
Cstf2	41.25630681	0.107451969	0.303308764	0.354265953	0.723139581	NA
Cstf2t	4.171984526	0.434258078	0.660030312	0.657936568	0.510578891	NA
Cstf3	31.21474593	-0.267138606	0.341590464	-0.782043512	0.434189002	NA
Cstl1	0	NA	NA	NA	NA	NA
Ctag2	0	NA	NA	NA	NA	NA
Ctage5	3.683148374	0.174453342	0.687791151	0.2536429	0.79977145	NA
Ctbp2	0.8612705	-0.468289923	0.574692969	-0.814852362	0.415156824	NA
Ctbs	0.550820695	-0.356867928	0.553289105	-0.644993593	0.518931338	NA
Ctcfl	0.715982341	0.331954093	0.610547922	0.543698669	0.586648849	NA
Ctdp1	33.75622133	-0.057123344	0.391074733	-0.14606759	0.883868032	NA
Ctdsp1	27.19014905	-0.392192405	0.369341052	-1.061870602	0.288294433	NA
Ctdspl	0.249837825	0.031193511	0.408288682	0.076400627	0.939100371	NA
Ctdspl2	6.012740558	0.567087835	0.646256952	0.877495915	0.380217336	NA
Ctf1	0	NA	NA	NA	NA	NA
Ctf2	0	NA	NA	NA	NA	NA
Ctgf	0	NA	NA	NA	NA	NA
Cth	2.680440023	-2.201272089	0.699041058	-3.148988267	0.001638368	NA
Cthrc1	0	NA	NA	NA	NA	NA
Ctla2a	0.344730346	-0.412189095	0.472419481	-0.872506556	0.382932093	NA
Ctla2b	0	NA	NA	NA	NA	NA
Ctla4	0.345460161	-0.092610614	0.454795651	-0.203631265	0.838641659	NA
Ctnna1	3.924266774	-0.528328522	0.68461654	-0.771714516	0.440283531	NA
Ctnna2	0	NA	NA	NA	NA	NA
Ctnna3	0	NA	NA	NA	NA	NA
Ctnnal1	3.480932833	-0.266425216	0.68214625	-0.390569055	0.696115803	NA
Ctnnbip1	0.838022037	-0.515262941	0.604935169	-0.851765556	0.394344227	NA
Ctnnd1	0	NA	NA	NA	NA	NA
Ctnnd2	0	NA	NA	NA	NA	NA
Ctns	2.907299726	0.00854311	0.698220705	0.012235544	0.990237692	NA
Ctps	17.56311483	0.290587588	0.464925713	0.625019395	0.531958329	NA
Ctps2	22.10429432	-0.281789485	0.435227746	-0.647452943	0.517338841	NA
Ctr9	12.49095854	-1.061308419	0.518377084	-2.047367549	0.04062201	NA
Ctrb1	0	NA	NA	NA	NA	NA
Ctrc	0	NA	NA	NA	NA	NA
Ctrl	8.287098954	0.026252523	0.633756742	0.041423659	0.966958152	NA
Cts3	0	NA	NA	NA	NA	NA
Cts6	0	NA	NA	NA	NA	NA
Cts7	0	NA	NA	NA	NA	NA
Cts8	0	NA	NA	NA	NA	NA
Cts8-ps	0	NA	NA	NA	NA	NA
Ctsc	38.91593556	0.409423844	0.313265441	1.306955032	0.191227984	NA
Ctsd	7.190033014	-0.487774826	0.601037025	-0.811555371	0.417046808	NA
Ctse	8.48317014	-0.336545205	0.570325244	-0.590093475	0.555127983	NA
Ctsf	0	NA	NA	NA	NA	NA
Ctsg	0	NA	NA	NA	NA	NA
Ctsj	0	NA	NA	NA	NA	NA
Ctsk	0	NA	NA	NA	NA	NA
Ctsl	2.916840006	0.598989559	0.698751982	0.857227708	0.391319052	NA
Ctsll3	0	NA	NA	NA	NA	NA
Ctsm	0	NA	NA	NA	NA	NA
Ctso	42.52179939	-0.184828315	0.332205143	-0.556368013	0.577959301	NA
Ctsq	0	NA	NA	NA	NA	NA
Ctsr	0	NA	NA	NA	NA	NA
Ctsw	1.01893666	-0.785592156	0.584134889	-1.344881416	0.178663533	NA
Cttn	8.585393818	-0.065235424	0.573944653	-0.113661524	0.909506115	NA
Cttnbp2	0	NA	NA	NA	NA	NA
Cttnbp2nl	0	NA	NA	NA	NA	NA
Ctu1	6.876627237	-0.457342154	0.660267257	-0.692662175	0.488521582	NA
Ctu2	28.48134881	-0.241475239	0.401022968	-0.602148152	0.547075524	NA
Ctxn1	1.153648465	0.504341639	0.681695442	0.739834255	0.459400571	NA
Ctxn2	0	NA	NA	NA	NA	NA
Ctxn3	0	NA	NA	NA	NA	NA
Cubn	0	NA	NA	NA	NA	NA
Cuedc1	0.778858062	-0.766943199	0.582697117	-1.316195286	0.188108505	NA
Cuedc2	34.17745344	0.082870023	0.357342001	0.231906754	0.816610439	NA
Cugbp1	4.180300555	0.878812799	0.674374152	1.303153147	0.192522482	NA
Cul1	37.80906696	-0.232242116	0.385246924	-0.602839636	0.546615376	NA
Cul2	20.64550073	-0.908975998	0.424160463	-2.143000299	0.032113074	NA
Cul3	54.95456109	0.050593498	0.274807445	0.184105267	0.853930875	NA
Cul4a	20.81173765	-0.103801681	0.448466703	-0.231459058	0.816958189	NA
Cul4b	20.83060995	-0.105989063	0.435602003	-0.243316288	0.807760387	NA
Cul5	1.86913072	-0.103860704	0.698852199	-0.148616123	0.88185655	NA
Cul7	4.992607627	-0.838187057	0.688502153	-1.217406588	0.223449558	NA
Cul9	1.617182375	1.160997726	0.678144153	1.712022025	0.08689261	NA
Cutc	8.580245069	0.5681855	0.631375043	0.899917578	0.368164115	NA
Cux1	33.96914741	0.408349948	0.340972344	1.197604306	0.231071099	NA
Cux2	0	NA	NA	NA	NA	NA
Cuzd1	0	NA	NA	NA	NA	NA
Cwc22	27.797858	0.004902789	0.388785546	0.012610523	0.989938525	NA
Cwf19l1	21.3671218	0.21113205	0.38766049	0.544631334	0.5860071	NA
Cwf19l2	1.266316467	0.607969998	0.686564714	0.885524679	0.375873715	NA
Cwh43	0	NA	NA	NA	NA	NA
Cx3cl1	0	NA	NA	NA	NA	NA
Cx3cr1	0	NA	NA	NA	NA	NA
Cxadr	0	NA	NA	NA	NA	NA
Cxcl1	0	NA	NA	NA	NA	NA
Cxcl10	2.525941953	1.082087537	0.699042143	1.547957513	0.121632526	NA
Cxcl11	0	NA	NA	NA	NA	NA
Cxcl12	0.37331398	-0.03971283	0.464852729	-0.085430992	0.931918755	NA
Cxcl13	0.559991636	0.531697198	0.509995385	1.04255296	0.297155385	NA
Cxcl14	0	NA	NA	NA	NA	NA
Cxcl15	0	NA	NA	NA	NA	NA
Cxcl16	0	NA	NA	NA	NA	NA
Cxcl17	0	NA	NA	NA	NA	NA
Cxcl2	0	NA	NA	NA	NA	NA
Cxcl3	0	NA	NA	NA	NA	NA
Cxcl5	0	NA	NA	NA	NA	NA
Cxcl9	0.298700866	-0.305499999	0.417987575	-0.730882967	0.464850641	NA
Cxcr1	0	NA	NA	NA	NA	NA
Cxcr2	0.099566955	-0.111479908	0.26791159	-0.416107076	0.677331652	NA
Cxcr3	17.48428436	0.483893827	0.476222389	1.016108939	0.309577513	NA
Cxcr4	0.38873048	0.186338087	0.503746481	0.369904495	0.711453652	NA
Cxcr6	0.251560658	0.273405162	0.39313412	0.695450097	0.486773275	NA
Cxcr7	0	NA	NA	NA	NA	NA
Cxx1a	0.101335226	0.118282433	0.270538737	0.437210708	0.661958545	NA
Cxx1b	0.941961247	-0.369597207	0.636741162	-0.580451256	0.561610349	NA
Cxx1c	0.348360139	0.3563877	0.438446134	0.812842612	0.416308301	NA
Cxxc4	0	NA	NA	NA	NA	NA
Cxxc5	15.3686643	0.23843665	0.426723158	0.558761917	0.576324217	NA
Cyb5	27.38929436	-0.165995164	0.368399073	-0.450585185	0.652288546	NA
Cyb561	0.251560658	0.273405162	0.39313412	0.695450097	0.486773275	NA
Cyb561d1	7.10352741	-1.043174155	0.592821279	-1.759677312	0.078462535	NA
Cyb561d2	48.4788748	-0.083542591	0.306099942	-0.272925863	0.784910206	NA
Cyb5d1	0	NA	NA	NA	NA	NA
Cyb5d2	5.823728502	-0.730416534	0.632052197	-1.15562692	0.247833792	NA
Cyb5r1	41.39379178	0.236137187	0.383394527	0.615911732	0.537952778	NA
Cyb5r2	0	NA	NA	NA	NA	NA
Cyb5r4	52.27168549	0.012892595	0.313968267	0.041063368	0.967245378	NA
Cyb5rl	1.304394971	0.029813585	0.63588005	0.046885549	0.962604445	NA
Cybasc3	19.79035646	-0.094409719	0.407934932	-0.231433278	0.816978214	NA
Cybrd1	2.122539668	1.392423388	0.698439676	1.993620115	0.046193585	NA
Cycs	53.44166024	0.407922355	0.312467155	1.305488747	0.191726476	NA
Cyct	0	NA	NA	NA	NA	NA
Cyfip1	7.93257529	0.400004543	0.537807148	0.743769482	0.457015946	NA
Cygb	0	NA	NA	NA	NA	NA
Cyhr1	14.86952453	0.216122201	0.534642127	0.404237133	0.68603835	NA
Cylc1	0	NA	NA	NA	NA	NA
Cylc2	0	NA	NA	NA	NA	NA
Cyld	16.76140938	0.014868796	0.480675376	0.030933134	0.975322865	NA
Cym	0.377340987	0.388075082	0.453390377	0.855940269	0.392030819	NA
Cyp11a1	0	NA	NA	NA	NA	NA
Cyp11b1	0	NA	NA	NA	NA	NA
Cyp11b2	0	NA	NA	NA	NA	NA
Cyp17a1	0	NA	NA	NA	NA	NA
Cyp19a1	0	NA	NA	NA	NA	NA
Cyp1a1	0	NA	NA	NA	NA	NA
Cyp1a2	0	NA	NA	NA	NA	NA
Cyp1b1	0	NA	NA	NA	NA	NA
Cyp20a1	10.06548578	0.15406229	0.535957748	0.287452304	0.773766017	NA
Cyp21a1	0	NA	NA	NA	NA	NA
Cyp24a1	0	NA	NA	NA	NA	NA
Cyp26a1	0	NA	NA	NA	NA	NA
Cyp26b1	0	NA	NA	NA	NA	NA
Cyp26c1	0	NA	NA	NA	NA	NA
Cyp27a1	2.604772421	0.156824383	0.698283038	0.224585697	0.822301593	NA
Cyp27b1	0	NA	NA	NA	NA	NA
Cyp2a12	0	NA	NA	NA	NA	NA
Cyp2a22	0	NA	NA	NA	NA	NA
Cyp2a4	0	NA	NA	NA	NA	NA
Cyp2a5	0	NA	NA	NA	NA	NA
Cyp2ab1	0.125780329	0.144425925	0.296608341	0.486924691	0.626311701	NA
Cyp2b10	0	NA	NA	NA	NA	NA
Cyp2b13	0	NA	NA	NA	NA	NA
Cyp2b19	0	NA	NA	NA	NA	NA
Cyp2b23	0	NA	NA	NA	NA	NA
Cyp2b9	0	NA	NA	NA	NA	NA
Cyp2c29	0	NA	NA	NA	NA	NA
Cyp2c37	0	NA	NA	NA	NA	NA
Cyp2c38	0	NA	NA	NA	NA	NA
Cyp2c39	0	NA	NA	NA	NA	NA
Cyp2c40	0	NA	NA	NA	NA	NA
Cyp2c44	0	NA	NA	NA	NA	NA
Cyp2c50	0	NA	NA	NA	NA	NA
Cyp2c53-ps	0	NA	NA	NA	NA	NA
Cyp2c54	0	NA	NA	NA	NA	NA
Cyp2c55	0	NA	NA	NA	NA	NA
Cyp2c65	0	NA	NA	NA	NA	NA
Cyp2c66	0	NA	NA	NA	NA	NA
Cyp2c67	0	NA	NA	NA	NA	NA
Cyp2c68	0	NA	NA	NA	NA	NA
Cyp2c69	0	NA	NA	NA	NA	NA
Cyp2c70	0	NA	NA	NA	NA	NA
Cyp2d10	0	NA	NA	NA	NA	NA
Cyp2d11	0	NA	NA	NA	NA	NA
Cyp2d12	0	NA	NA	NA	NA	NA
Cyp2d13	0	NA	NA	NA	NA	NA
Cyp2d22	1.383583618	1.010773814	0.619599178	1.631334983	0.102819656	NA
Cyp2d26	0	NA	NA	NA	NA	NA
Cyp2d34	0	NA	NA	NA	NA	NA
Cyp2d37-ps	0	NA	NA	NA	NA	NA
Cyp2d40	0	NA	NA	NA	NA	NA
Cyp2d9	0	NA	NA	NA	NA	NA
Cyp2e1	0	NA	NA	NA	NA	NA
Cyp2f2	0	NA	NA	NA	NA	NA
Cyp2g1	0	NA	NA	NA	NA	NA
Cyp2j11	0	NA	NA	NA	NA	NA
Cyp2j12	0	NA	NA	NA	NA	NA
Cyp2j13	0	NA	NA	NA	NA	NA
Cyp2j5	0	NA	NA	NA	NA	NA
Cyp2j6	0	NA	NA	NA	NA	NA
Cyp2j7	0	NA	NA	NA	NA	NA
Cyp2j8	0	NA	NA	NA	NA	NA
Cyp2j9	0	NA	NA	NA	NA	NA
Cyp2r1	0.639369513	-0.00994147	0.595272911	-0.016700693	0.986675394	NA
Cyp2s1	0.398267821	-0.389702889	0.460406839	-0.846431582	0.397312026	NA
Cyp2t4	0.101335226	0.118282433	0.270538737	0.437210708	0.661958545	NA
Cyp2u1	0.17418007	0.192667168	0.337745185	0.570451265	0.568371668	NA
Cyp2w1	0	NA	NA	NA	NA	NA
Cyp39a1	1.316677947	-0.095702136	0.662263997	-0.144507533	0.885099709	NA
Cyp3a11	0	NA	NA	NA	NA	NA
Cyp3a13	0	NA	NA	NA	NA	NA
Cyp3a16	0	NA	NA	NA	NA	NA
Cyp3a25	0	NA	NA	NA	NA	NA
Cyp3a41a	0	NA	NA	NA	NA	NA
Cyp3a41b	0	NA	NA	NA	NA	NA
Cyp3a44	0	NA	NA	NA	NA	NA
Cyp3a57	0	NA	NA	NA	NA	NA
Cyp3a59	0	NA	NA	NA	NA	NA
Cyp46a1	0.125780329	0.144425925	0.296608341	0.486924691	0.626311701	NA
Cyp4a10	0	NA	NA	NA	NA	NA
Cyp4a12a	0	NA	NA	NA	NA	NA
Cyp4a12b	0	NA	NA	NA	NA	NA
Cyp4a14	0	NA	NA	NA	NA	NA
Cyp4a29	0	NA	NA	NA	NA	NA
Cyp4a30b	0	NA	NA	NA	NA	NA
Cyp4a31	0	NA	NA	NA	NA	NA
Cyp4a32	0	NA	NA	NA	NA	NA
Cyp4b1	0	NA	NA	NA	NA	NA
Cyp4f13	4.086717883	-1.006342753	0.69572342	-1.446469566	0.148045542	NA
Cyp4f14	0	NA	NA	NA	NA	NA
Cyp4f15	0	NA	NA	NA	NA	NA
Cyp4f16	0	NA	NA	NA	NA	NA
Cyp4f17	2.741690094	-0.103162171	0.698374014	-0.147717654	0.882565599	NA
Cyp4f39	0	NA	NA	NA	NA	NA
Cyp4f40	0	NA	NA	NA	NA	NA
Cyp4f41-ps	1.288877069	-0.184835419	0.640199713	-0.288715249	0.772799293	NA
Cyp4v3	6.094430186	-0.636433591	0.631996312	-1.007021052	0.313924658	NA
Cyp4x1	0	NA	NA	NA	NA	NA
Cyp7a1	0	NA	NA	NA	NA	NA
Cyp7b1	0	NA	NA	NA	NA	NA
Cyp8b1	0	NA	NA	NA	NA	NA
Cypt12	0	NA	NA	NA	NA	NA
Cypt2	0	NA	NA	NA	NA	NA
Cypt3	0	NA	NA	NA	NA	NA
Cypt4	0	NA	NA	NA	NA	NA
Cypt6	0	NA	NA	NA	NA	NA
Cyr61	0	NA	NA	NA	NA	NA
Cys1	0	NA	NA	NA	NA	NA
Cysltr1	0	NA	NA	NA	NA	NA
Cysltr2	0.913287368	-0.418229227	0.610467954	-0.685096121	0.493283268	NA
Cyth1	23.65607992	-0.033956257	0.40324071	-0.084208405	0.932890735	NA
Cyth2	10.90976989	0.104986005	0.552010284	0.190188495	0.849161426	NA
Cyth3	1.519406046	0.625291254	0.672543569	0.929740886	0.35250526	NA
Cyth4	12.29139183	-0.556641227	0.545621898	-1.020195906	0.307635559	NA
Cytip	33.94270283	-0.28091424	0.380206669	-0.738846166	0.460000415	NA
Cytl1	0	NA	NA	NA	NA	NA
Cytsa	19.81179555	-0.229434099	0.5176217	-0.443246678	0.65758732	NA
Cytsb	0	NA	NA	NA	NA	NA
Cyyr1	0	NA	NA	NA	NA	NA
D030016E14Rik	13.26487962	0.175453058	0.48415819	0.362387876	0.717062198	NA
D030018L15Rik	0	NA	NA	NA	NA	NA
D030024E09Rik	0	NA	NA	NA	NA	NA
D030025P21Rik	0	NA	NA	NA	NA	NA
D030028A08Rik	2.949587852	-0.516326519	0.688360435	-0.750081632	0.453205541	NA
D030040B21	0	NA	NA	NA	NA	NA
D030046N08Rik	0	NA	NA	NA	NA	NA
D030047H15Rik	0	NA	NA	NA	NA	NA
D030056L22Rik	13.0456363	-0.368690872	0.498621305	-0.739420614	0.459651629	NA
D030074E01Rik	4.571770927	-0.885668605	0.650033005	-1.362497902	0.173040806	NA
D0H4S114	5.396975608	-1.116273435	0.640027681	-1.744101808	0.081141339	NA
D10627	6.199307626	-0.106236066	0.636905302	-0.166800411	0.867527095	NA
D10Bwg1379e	0	NA	NA	NA	NA	NA
D10Ertd322e	16.45975618	0.05140103	0.483191487	0.106378178	0.915282306	NA
D10Ertd610e	0	NA	NA	NA	NA	NA
D10Ertd641e	4.366021308	0.443974828	0.637789193	0.696115319	0.486356613	NA
D10Jhu81e	2.164505319	-1.347905277	0.692957732	-1.945147901	0.05175718	NA
D10Wsu102e	47.74818371	-0.265922679	0.334082273	-0.795979617	0.426043883	NA
D11Bwg0517e	0.279995818	0.298928362	0.408095699	0.732495743	0.46386604	NA
D11Wsu47e	26.40262413	-0.18366386	0.405286237	-0.45317073	0.650425807	NA
D11Wsu99e	34.42885489	0.142606705	0.332939789	0.42832581	0.668413931	NA
D130009I18Rik	0	NA	NA	NA	NA	NA
D130012P04Rik	0.101335226	0.118282433	0.270538737	0.437210708	0.661958545	NA
D130017N08Rik	0.125780329	0.144425925	0.296608341	0.486924691	0.626311701	NA
D130040H23Rik	0.639920591	0.413050935	0.572413272	0.721595663	0.470543106	NA
D130043K22Rik	0	NA	NA	NA	NA	NA
D130046C19Rik	0	NA	NA	NA	NA	NA
D130050E23Rik	0	NA	NA	NA	NA	NA
D130052B06Rik	0.522540209	0.497094735	0.497937016	0.998308459	0.318129807	NA
D130062J21Rik	5.733448943	-0.498725836	0.683212135	-0.729972157	0.465407204	NA
D130079A08Rik	0	NA	NA	NA	NA	NA
D13Mgi7	0	NA	NA	NA	NA	NA
D14Abb1e	5.354430057	-0.563241204	0.600128666	-0.938534078	0.347970013	NA
D14Ertd449e	0	NA	NA	NA	NA	NA
D14Ertd668e	2.810897744	-0.22854485	0.6900175	-0.33121602	0.74048132	NA
D15Ertd621e	18.72203405	0.479918311	0.43129461	1.112738949	0.265820562	NA
D15Wsu169e	0.202670452	0.226737183	0.362860703	0.624860121	0.532062868	NA
D16Ertd472e	11.03856935	-0.143511184	0.55033843	-0.260768967	0.794270678	NA
D16H22S680E	17.71112992	-0.092686019	0.435421126	-0.212865233	0.831432081	NA
D17H6S53E	0	NA	NA	NA	NA	NA
D17H6S56E-3	0.329519747	-0.331040172	0.431871345	-0.766524977	0.443363996	NA
D17Wsu104e	20.88317507	-0.472522444	0.443661818	-1.065050959	0.28685287	NA
D17Wsu92e	29.09368744	-0.28610655	0.411775571	-0.694811859	0.487173215	NA
D18Ertd653e	3.644344483	0.240641687	0.697955779	0.344780706	0.730259239	NA
D19Bwg1357e	33.44407231	-0.070556006	0.345169193	-0.204409917	0.838033181	NA
D19Ertd386e	9.00567934	0.242864185	0.566296685	0.428863865	0.668022299	NA
D19Ertd737e	5.477938953	0.173926121	0.61943838	0.280780343	0.778878881	NA
D19Wsu162e	49.6813668	-0.196243539	0.311372731	-0.630252813	0.52852919	NA
D1Bwg0212e	7.147648177	0.279101918	0.6482141	0.430570575	0.66678064	NA
D1Ertd448e	6.182917303	0.215486558	0.600876038	0.358620654	0.719878893	NA
D1Ertd622e	6.1372874	0.635972661	0.632395062	1.005657221	0.314580488	NA
D1Pas1	0	NA	NA	NA	NA	NA
D230025D16Rik	13.99805338	-0.121178272	0.567343787	-0.213588788	0.830867744	NA
D230037D09Rik	5.70000023	0.368417581	0.646783624	0.569614887	0.568938929	NA
D2Ertd391e	16.61781056	-0.322256254	0.503650302	-0.63984128	0.522275793	NA
D2Ertd750e	28.21571953	-0.115073623	0.415976855	-0.276634676	0.782060635	NA
D2Wsu81e	16.05134737	-0.010735489	0.538281287	-0.019944013	0.984088035	NA
D2hgdh	14.91743999	-0.398390746	0.494183071	-0.806160246	0.420150457	NA
D330012F22Rik	4.097712394	-1.132036976	0.681872465	-1.660188723	0.096876493	NA
D330022K07Rik	0	NA	NA	NA	NA	NA
D330023K18Rik	0.364775842	0.142680535	0.463011512	0.308157641	0.757962383	NA
D330028D13Rik	1.394092482	0.441576264	0.640567911	0.689351209	0.490602279	NA
D330038O06Rik	12.22884213	-0.154691608	0.490606718	-0.315306745	0.752528764	NA
D330041H03Rik	0.251560658	0.273405162	0.39313412	0.695450097	0.486773275	NA
D330045A20Rik	0	NA	NA	NA	NA	NA
D330050G23Rik	0	NA	NA	NA	NA	NA
D330050I16Rik	0.629480146	-0.037960239	0.564175575	-0.067284442	0.946355263	NA
D3Bwg0562e	0	NA	NA	NA	NA	NA
